"Step","r50_imagenet_sgd_eg_split_bias_0.3_5e-5_0_ln_0_0_cosine_warmup_no_bn_default_False_gd_warmup10_FINAL - train_loss","r50_imagenet_sgd_eg_split_bias_0.3_5e-5_0_ln_0_0_cosine_warmup_no_bn_default_False_gd_warmup10_FINAL - train_loss__MIN","r50_imagenet_sgd_eg_split_bias_0.3_5e-5_0_ln_0_0_cosine_warmup_no_bn_default_False_gd_warmup10_FINAL - train_loss__MAX","r50_imagenet_sgd_eg_split_bias_0.3_5e-5_0_ln_0_0_cosine_warmup_no_bn_default_False_gd_warmup5_FINAL - train_loss","r50_imagenet_sgd_eg_split_bias_0.3_5e-5_0_ln_0_0_cosine_warmup_no_bn_default_False_gd_warmup5_FINAL - train_loss__MIN","r50_imagenet_sgd_eg_split_bias_0.3_5e-5_0_ln_0_0_cosine_warmup_no_bn_default_False_gd_warmup5_FINAL - train_loss__MAX","r50_imagenet_sgd_eg_split_bias_0.3_5e-5_0_ln_0_0_cosine_warmup_no_bn_default_False_gd_warmup1_FINAL - train_loss","r50_imagenet_sgd_eg_split_bias_0.3_5e-5_0_ln_0_0_cosine_warmup_no_bn_default_False_gd_warmup1_FINAL - train_loss__MIN","r50_imagenet_sgd_eg_split_bias_0.3_5e-5_0_ln_0_0_cosine_warmup_no_bn_default_False_gd_warmup1_FINAL - train_loss__MAX","r50_imagenet_sgd_0.5_5e-5_0_lognormal_0_0_cosine_no_bn_default_False_labels_FINAL - train_loss","r50_imagenet_sgd_0.5_5e-5_0_lognormal_0_0_cosine_no_bn_default_False_labels_FINAL - train_loss__MIN","r50_imagenet_sgd_0.5_5e-5_0_lognormal_0_0_cosine_no_bn_default_False_labels_FINAL - train_loss__MAX","r50_imagenet_sgd_eg_split_bias_0.4_5e-5_0_lognormal_0_0_cosine_no_bn_default_False_labels_FINAL - train_loss","r50_imagenet_sgd_eg_split_bias_0.4_5e-5_0_lognormal_0_0_cosine_no_bn_default_False_labels_FINAL - train_loss__MIN","r50_imagenet_sgd_eg_split_bias_0.4_5e-5_0_lognormal_0_0_cosine_no_bn_default_False_labels_FINAL - train_loss__MAX"
"163","6.90814208984375","6.90814208984375","6.90814208984375","6.941298484802246","6.941298484802246","6.941298484802246","6.962364196777344","6.962364196777344","6.962364196777344","6.906338214874268","6.906338214874268","6.906338214874268","6.886777877807617","6.886777877807617","6.886777877807617"
"166","7.018916130065918","7.018916130065918","7.018916130065918","6.978405952453613","6.978405952453613","6.978405952453613","6.9492387771606445","6.9492387771606445","6.9492387771606445","6.907839775085449","6.907839775085449","6.907839775085449","6.9182281494140625","6.9182281494140625","6.9182281494140625"
"175","6.999714374542236","6.999714374542236","6.999714374542236","6.901486873626709","6.901486873626709","6.901486873626709","6.9909257888793945","6.9909257888793945","6.9909257888793945","6.907939434051514","6.907939434051514","6.907939434051514","6.908052444458008","6.908052444458008","6.908052444458008"
"184","6.883458137512207","6.883458137512207","6.883458137512207","6.972177028656006","6.972177028656006","6.972177028656006","6.894132137298584","6.894132137298584","6.894132137298584","6.907415866851807","6.907415866851807","6.907415866851807","6.8259992599487305","6.8259992599487305","6.8259992599487305"
"192","6.850561618804932","6.850561618804932","6.850561618804932","6.956425189971924","6.956425189971924","6.956425189971924","6.881903171539307","6.881903171539307","6.881903171539307","6.902179718017578","6.902179718017578","6.902179718017578","6.836859226226807","6.836859226226807","6.836859226226807"
"224","6.8192243576049805","6.8192243576049805","6.8192243576049805","6.853025436401367","6.853025436401367","6.853025436401367","6.811100959777832","6.811100959777832","6.811100959777832","6.888011932373047","6.888011932373047","6.888011932373047","6.78976583480835","6.78976583480835","6.78976583480835"
"249","6.834489345550537","6.834489345550537","6.834489345550537","6.748364448547363","6.748364448547363","6.748364448547363","6.787365913391113","6.787365913391113","6.787365913391113","6.883630752563477","6.883630752563477","6.883630752563477","6.736661911010742","6.736661911010742","6.736661911010742"
"258","6.718393325805664","6.718393325805664","6.718393325805664","6.789523124694824","6.789523124694824","6.789523124694824","6.726607322692871","6.726607322692871","6.726607322692871","6.876985549926758","6.876985549926758","6.876985549926758","6.77286434173584","6.77286434173584","6.77286434173584"
"265","6.697690963745117","6.697690963745117","6.697690963745117","6.776688098907471","6.776688098907471","6.776688098907471","6.651979446411133","6.651979446411133","6.651979446411133","6.880610466003418","6.880610466003418","6.880610466003418","6.794506072998047","6.794506072998047","6.794506072998047"
"277","6.728736400604248","6.728736400604248","6.728736400604248","6.753252983093262","6.753252983093262","6.753252983093262","6.667535781860352","6.667535781860352","6.667535781860352","6.872119903564453","6.872119903564453","6.872119903564453","6.731081485748291","6.731081485748291","6.731081485748291"
"280","6.668265342712402","6.668265342712402","6.668265342712402","6.736037254333496","6.736037254333496","6.736037254333496","6.633731842041016","6.633731842041016","6.633731842041016","6.8733954429626465","6.8733954429626465","6.8733954429626465","6.753450870513916","6.753450870513916","6.753450870513916"
"291","6.617243766784668","6.617243766784668","6.617243766784668","6.691258430480957","6.691258430480957","6.691258430480957","6.601650238037109","6.601650238037109","6.601650238037109","6.855024337768555","6.855024337768555","6.855024337768555","6.692931652069092","6.692931652069092","6.692931652069092"
"294","6.618061065673828","6.618061065673828","6.618061065673828","6.666431427001953","6.666431427001953","6.666431427001953","6.651578426361084","6.651578426361084","6.651578426361084","6.857516765594482","6.857516765594482","6.857516765594482","6.706943511962891","6.706943511962891","6.706943511962891"
"300","6.578495502471924","6.578495502471924","6.578495502471924","6.693846702575684","6.693846702575684","6.693846702575684","6.664818286895752","6.664818286895752","6.664818286895752","6.848706245422363","6.848706245422363","6.848706245422363","6.746453762054443","6.746453762054443","6.746453762054443"
"304","6.6396894454956055","6.6396894454956055","6.6396894454956055","6.646174907684326","6.646174907684326","6.646174907684326","6.653811931610107","6.653811931610107","6.653811931610107","6.8440842628479","6.8440842628479","6.8440842628479","6.697869300842285","6.697869300842285","6.697869300842285"
"308","6.603231906890869","6.603231906890869","6.603231906890869","6.664116859436035","6.664116859436035","6.664116859436035","6.678213119506836","6.678213119506836","6.678213119506836","6.851653575897217","6.851653575897217","6.851653575897217","6.627927303314209","6.627927303314209","6.627927303314209"
"317","6.638671875","6.638671875","6.638671875","6.6363372802734375","6.6363372802734375","6.6363372802734375","6.530513286590576","6.530513286590576","6.530513286590576","6.823918342590332","6.823918342590332","6.823918342590332","6.628258228302002","6.628258228302002","6.628258228302002"
"336","6.630082607269287","6.630082607269287","6.630082607269287","6.674288749694824","6.674288749694824","6.674288749694824","6.587680339813232","6.587680339813232","6.587680339813232","6.807833194732666","6.807833194732666","6.807833194732666","6.6690568923950195","6.6690568923950195","6.6690568923950195"
"352","6.573343753814697","6.573343753814697","6.573343753814697","6.59232759475708","6.59232759475708","6.59232759475708","6.55510139465332","6.55510139465332","6.55510139465332","6.767139434814453","6.767139434814453","6.767139434814453","6.649813652038574","6.649813652038574","6.649813652038574"
"367","6.438257217407227","6.438257217407227","6.438257217407227","6.513252258300781","6.513252258300781","6.513252258300781","6.487281322479248","6.487281322479248","6.487281322479248","6.781881332397461","6.781881332397461","6.781881332397461","6.626486301422119","6.626486301422119","6.626486301422119"
"371","6.5086164474487305","6.5086164474487305","6.5086164474487305","6.597444534301758","6.597444534301758","6.597444534301758","6.517218112945557","6.517218112945557","6.517218112945557","6.738000869750977","6.738000869750977","6.738000869750977","6.619454860687256","6.619454860687256","6.619454860687256"
"381","6.51503324508667","6.51503324508667","6.51503324508667","6.512632369995117","6.512632369995117","6.512632369995117","6.504345417022705","6.504345417022705","6.504345417022705","6.774166584014893","6.774166584014893","6.774166584014893","6.64293098449707","6.64293098449707","6.64293098449707"
"388","6.508550643920898","6.508550643920898","6.508550643920898","6.467587471008301","6.467587471008301","6.467587471008301","6.536645889282227","6.536645889282227","6.536645889282227","6.760354042053223","6.760354042053223","6.760354042053223","6.607940673828125","6.607940673828125","6.607940673828125"
"396","6.485424518585205","6.485424518585205","6.485424518585205","6.483092308044434","6.483092308044434","6.483092308044434","6.447552680969238","6.447552680969238","6.447552680969238","6.7725300788879395","6.7725300788879395","6.7725300788879395","6.643624782562256","6.643624782562256","6.643624782562256"
"404","6.43367338180542","6.43367338180542","6.43367338180542","6.506826400756836","6.506826400756836","6.506826400756836","6.530055046081543","6.530055046081543","6.530055046081543","6.747796535491943","6.747796535491943","6.747796535491943","6.607631206512451","6.607631206512451","6.607631206512451"
"413","6.4286627769470215","6.4286627769470215","6.4286627769470215","6.5077714920043945","6.5077714920043945","6.5077714920043945","6.4461212158203125","6.4461212158203125","6.4461212158203125","6.723751068115234","6.723751068115234","6.723751068115234","6.557962894439697","6.557962894439697","6.557962894439697"
"424","6.40544319152832","6.40544319152832","6.40544319152832","6.424676418304443","6.424676418304443","6.424676418304443","6.414020538330078","6.414020538330078","6.414020538330078","6.733786106109619","6.733786106109619","6.733786106109619","6.561318874359131","6.561318874359131","6.561318874359131"
"429","6.387718200683594","6.387718200683594","6.387718200683594","6.424542427062988","6.424542427062988","6.424542427062988","6.457517623901367","6.457517623901367","6.457517623901367","6.728573799133301","6.728573799133301","6.728573799133301","6.556309700012207","6.556309700012207","6.556309700012207"
"434","6.456023216247559","6.456023216247559","6.456023216247559","6.451739311218262","6.451739311218262","6.451739311218262","6.385618686676025","6.385618686676025","6.385618686676025","6.744927883148193","6.744927883148193","6.744927883148193","6.581160545349121","6.581160545349121","6.581160545349121"
"454","6.3296356201171875","6.3296356201171875","6.3296356201171875","6.422782897949219","6.422782897949219","6.422782897949219","6.372780799865723","6.372780799865723","6.372780799865723","6.736159801483154","6.736159801483154","6.736159801483154","6.5876145362854","6.5876145362854","6.5876145362854"
"464","6.310966968536377","6.310966968536377","6.310966968536377","6.396662712097168","6.396662712097168","6.396662712097168","6.365549087524414","6.365549087524414","6.365549087524414","6.723594665527344","6.723594665527344","6.723594665527344","6.490373611450195","6.490373611450195","6.490373611450195"
